,date,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
2020-06-25,20200625.0,170196.0,1150714.0,591.0,0.0,19668.0,0.0,0.0,0.0,0.0,29740.0,14872.0,19668.0,0.0,0.0,0.0,170196.0,13018.0,0.0,34.0,0.0,0.0,1320910.0,1320910.0,21265.0,1320910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-26,20200626.0,170584.0,1176088.0,591.0,0.0,19752.0,0.0,0.0,0.0,0.0,29855.0,14914.0,19752.0,0.0,0.0,0.0,170584.0,13060.0,0.0,34.0,0.0,0.0,1346672.0,1346672.0,25762.0,1346672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-27,20200627.0,170873.0,1196377.0,591.0,0.0,19823.0,0.0,0.0,0.0,0.0,29967.0,14948.0,19823.0,0.0,0.0,0.0,170873.0,13094.0,0.0,34.0,0.0,0.0,1367250.0,1367250.0,20578.0,1367250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-28,20200628.0,171182.0,1216651.0,591.0,0.0,19841.0,0.0,0.0,0.0,0.0,30092.0,14975.0,19841.0,0.0,0.0,0.0,171182.0,13121.0,0.0,34.0,0.0,0.0,1387833.0,1387833.0,20583.0,1387833.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-29,20200629.0,171272.0,1232712.0,591.0,0.0,19847.0,0.0,0.0,0.0,0.0,30163.0,14992.0,19847.0,0.0,0.0,0.0,171272.0,13138.0,0.0,34.0,0.0,0.0,1403984.0,1403984.0,16151.0,1403984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-30,20200630.0,171667.0,1250707.0,591.0,0.0,19847.0,0.0,0.0,0.0,0.0,30213.0,15035.0,19847.0,0.0,0.0,0.0,171667.0,13181.0,0.0,34.0,0.0,0.0,1422374.0,1422374.0,18390.0,1422374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01,20200701.0,171928.0,1271009.0,591.0,0.0,20054.0,0.0,0.0,0.0,0.0,30300.0,15078.0,20054.0,0.0,0.0,0.0,171928.0,13224.0,0.0,34.0,0.0,0.0,1442937.0,1442937.0,20563.0,1442937.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-02,20200702.0,172356.0,1291557.0,591.0,0.0,20141.0,0.0,0.0,0.0,0.0,30383.0,15107.0,20141.0,0.0,0.0,0.0,172356.0,13251.0,0.0,34.0,0.0,0.0,1463913.0,1463913.0,20976.0,1463913.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-03,20200703.0,172742.0,1312759.0,591.0,0.0,20214.0,0.0,0.0,0.0,0.0,30464.0,15164.0,20214.0,0.0,0.0,0.0,172742.0,13308.0,0.0,34.0,0.0,0.0,1485501.0,1485501.0,21588.0,1485501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-04,20200704.0,173033.0,1335515.0,591.0,0.0,20233.0,0.0,0.0,0.0,0.0,30565.0,15189.0,20233.0,0.0,0.0,0.0,173033.0,13333.0,0.0,34.0,0.0,0.0,1508548.0,1508548.0,23047.0,1508548.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
